Scenario,Budget,LT Revenue,ST Revenue,Total Revenue,Predicted Revenue,Region,Brand
region: UK brand: Shreddies budget: 7900000,7899999.999994375,5710029.396123279,6785171.771396191,12495201.167519469,12468720.30109985,UK,Shreddies
region: UK brand: Shreddies budget: 800000,800000.0000004439,1237227.9565938497,1864621.5316159518,3101849.4882098017,2953134.380714696,UK,Shreddies
region: UK brand: Shreddies budget: 8000000,7999999.999999998,5726585.915609476,6806347.268208282,12532933.18381776,12506122.136331009,UK,Shreddies
region: UK brand: Shreddies budget: 8100000,8100000.000000001,5742858.14998121,6826813.379750099,12569671.529731309,12542407.97963811,UK,Shreddies
region: UK brand: Shreddies budget: 8200000,8200000.0,5758848.0260326145,6846608.712645593,12605456.738678208,12577611.129869778,UK,Shreddies
region: UK brand: Shreddies budget: 8300000,8300000.0,5774565.382745478,6865761.585937198,12640326.968682677,12611763.892305117,UK,Shreddies
region: UK brand: Shreddies budget: 8400000,8400000.0,5790005.533319804,6884312.641022851,12674318.174342655,12644897.608301805,UK,Shreddies
region: UK brand: Shreddies budget: 8500000,8500000.0,5805174.83140382,6902289.4375883555,12707464.268992174,12677042.684057465,UK,Shreddies
region: UK brand: Shreddies budget: 8600000,8600000.000000002,5820076.95112388,6919720.321459751,12739797.27258363,12708228.618512886,UK,Shreddies
region: UK brand: Shreddies budget: 8700000,8700000.0,5834715.700232763,6936631.748916192,12771347.449148955,12738484.03042264,UK,Shreddies
region: UK brand: Shreddies budget: 8800000,8800000.0,5847338.649412642,6954741.966372988,12802080.61578563,12767836.68461799,UK,Shreddies
region: UK brand: Shreddies budget: 8900000,8899999.999999998,5857014.774515064,6974444.203597029,12831458.978112094,12796313.517486168,UK,Shreddies
region: UK brand: Shreddies budget: 900000,900000.0000041222,1397247.4871044098,2008033.7153682176,3405281.202472627,3274461.2414120315,UK,Shreddies
region: UK brand: Shreddies budget: 9000000,9000000.000000002,5866416.268481007,6993016.979856282,12859433.248337287,12823940.661689386,UK,Shreddies
region: UK brand: Shreddies budget: 9100000,9100000.000000002,5875552.78175535,7010543.780557147,12886096.562312497,12850743.470146297,UK,Shreddies
region: UK brand: Shreddies budget: 9200000,9199999.999999337,5884433.588051377,7027101.21452736,12911534.802578736,12876746.539297746,UK,Shreddies
region: UK brand: Shreddies budget: 9300000,9299999.999999998,5893067.599981165,7042759.612174161,12935827.212155325,12901973.731679296,UK,Shreddies
region: UK brand: Shreddies budget: 9400000,9400000.000000002,5901463.384008092,7057583.569925727,12959046.95393382,12926448.197817754,UK,Shreddies
region: UK brand: Shreddies budget: 9500000,9499999.999998748,5909629.174760341,7071632.445888131,12981261.620648472,12950192.397477368,UK,Shreddies
